Epoch,Train Loss,Test Loss,Train Time (s)
1,0.07947305949181319,0.05664046777412295,840
2,0.06890557831674814,0.05894111069850624,733
3,0.06775160394459963,0.0570228827316314,734
4,0.06734997811466456,0.057048970233649014,722
5,0.06696101073175668,0.05641820871643722,730
6,0.06684298285543919,0.05521612462773919,737
7,0.06658305295556784,0.05523339330777526,763
8,0.06651267573833465,0.055207447795197366,574
9,0.06641954597383738,0.05576601546443999,594
10,0.06637044107466936,0.058645241543650625,587
11,0.06628570357263089,0.05658405584469438,604
12,0.06626348721832037,0.05509813098236918,606
13,0.06615473599135875,0.05472505011036992,663
14,0.06634993089288473,0.058911108026281,577
15,0.06609042619019746,0.055700229946523905,583
16,0.0660305037766695,0.05576728533394635,582
17,0.06601133702844382,0.05594300805032253,612
18,0.065462488129735,0.055479842076078055,597
19,0.06535386321246624,0.0561085145920515,665
20,0.06543525056838989,0.05512360270880163,576
