Epoch,Train Loss,Test Loss,Train Time (s)
1,0.07501816215664148,0.05701138503663242,849
2,0.0694105680167675,0.0554029931742698,801
3,0.06821178960502147,0.0558175807017833,751
4,0.06781355402171611,0.059074039477854966,779
5,0.06743465410470963,0.05501901372149587,787
6,0.06709248177558183,0.053831885017454624,798
7,0.06700427129268646,0.055181672912091015,773
8,0.06679642951786519,0.05511199194565415,758
9,0.06667824914753437,0.0556594745926559,789
10,0.06651890913695097,0.05713882579095662,757
11,0.06591142963320017,0.05535122640244663,820
12,0.0659054194509983,0.054210509564727546,631
13,0.06598961053192616,0.05562434258311987,612
14,0.06556353943049907,0.055636622982099655,635
