Epoch,Train Loss,Test Loss,Train Time (s)
1,0.08713343047350645,0.06534331363625824,480
2,0.07990628135800362,0.06557882244139909,458
3,0.07686329090893268,0.06502053333818912,446
4,0.07519293835759162,0.06382249803468586,433
5,0.07446611759066582,0.06699575581215322,435
6,0.07323056962937116,0.06404465438611806,425
7,0.0726087590560317,0.067140270633623,440
8,0.07204557542055845,0.06532262119837105,443
9,0.07016358011811971,0.06400949561037123,429
10,0.06999044571518898,0.06680848945304751,441
11,0.06948939135223627,0.062455638010054826,432
12,0.06925071320086718,0.06506410031020642,410
13,0.0691461986258626,0.06538383488357068,412
14,0.06885061865597963,0.06872846413031221,422
15,0.06856083160787821,0.06326473826915026,425
16,0.06782611044943333,0.06418151935003698,428
17,0.0675250522211194,0.06483177880384028,444
18,0.06715166311264038,0.06639134845510125,430
19,0.06724968619793653,0.06373862029239535,456
