Epoch,Train Loss,Test Loss,Train Time (s)
1,0.10630700300857425,0.07775500529259444,1539
2,0.07568304396569729,0.06441723987087608,1368
3,0.07358258004635572,0.062362070459872486,1340
4,0.07246699320748448,0.06263132283464073,1410
5,0.07197980912402273,0.06357561260089278,1339
6,0.0714859549857676,0.06399573623761534,1124
7,0.07123566773533821,0.06200142497569323,973
8,0.07087046405598521,0.06576348137669265,799
9,0.07060161715000868,0.06531153170391918,664
10,0.07040401925444603,0.06414753073081374,665
11,0.07017965857684612,0.06757228835485876,706
12,0.06937783369719983,0.06230446943081915,736
13,0.06894577778056264,0.06357837865687907,681
14,0.0689533270187676,0.06346390820667147,682
15,0.06883994235098362,0.06589721711166203,662
