Epoch,Train Loss,Test Loss,Train Time (s)
1,0.07467799719050526,0.05656358724273741,1600
2,0.06967461446896195,0.05550084459967911,1408
3,0.06884805686846375,0.05645436382852495,1366
4,0.06847796165794134,0.05589512122794986,1347
5,0.06817702270820737,0.0548994925674051,1149
6,0.06801076143831014,0.05603075154684484,1136
7,0.06795356335192919,0.05504417380411178,1185
8,0.06784666885435581,0.05669860251620412,1176
9,0.06777119038775563,0.05967024836316705,1132
10,0.06721403578296303,0.05794480105862022,1167
11,0.06726355755850673,0.05416420845501125,1026
12,0.06708903643190861,0.05588015142083168,914
13,0.06708669051975012,0.0549494994468987,855
14,0.06712114149332046,0.056365854937583205,771
15,0.06695881233736872,0.056020700907334686,744
16,0.0667196437254548,0.05684256613254547,682
17,0.06680892882719636,0.05524839808791876,684
18,0.06679219610914588,0.05543390166573226,679
19,0.0667242376178503,0.055526324395090344,749
