Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6479154410403967,-0.6972761733531951,2879
2,-0.7050473070168495,-0.7070169003903866,2688
3,-0.7186376015162468,-0.7246855327785016,2675
4,-0.7259829484462738,-0.7275020852535963,2689
5,-0.7293713048148155,-0.7193537490516901,2362
6,-0.7318152731323242,-0.7228640335202217,2211
7,-0.7339542049598694,-0.7252193281054496,2252
8,-0.7351502549266815,-0.7171812141239643,2244
9,-0.7418966503429413,-0.7206522575095295,1837
10,-0.7438818172359467,-0.7298871756494045,1784
11,-0.7450062711119652,-0.7281984710991383,1768
12,-0.7458326442337037,-0.7372084524333476,1719
13,-0.7462807243299484,-0.7253048735409975,1363
14,-0.7462780538225174,-0.7327537632286548,1353
15,-0.7478789522790908,-0.7277519299387932,1683
16,-0.748018675570488,-0.722177702844143,1730
17,-0.7508820012521744,-0.7308186641633511,1695
18,-0.7513518143558502,-0.7266877202019095,1744
19,-0.7532114140892029,-0.7279825466424227,1712
20,-0.7530564432263375,-0.727309682905674,1708
