Epoch,Train Loss,Test Loss
1,0.319386419632452,0.3055213999003172
2,0.1272107509346746,0.20913596218079328
3,0.09073887401365405,0.2244222943931818
4,0.07642595627628784,0.22392100019752978
5,0.0683046555999729,0.2325099548920989
6,0.06323092560366475,0.22443920031934977
7,0.05959039577227131,0.22608745501190425
8,0.056768237677909776,0.23183684384077788
9,0.054853217368074456,0.23455599630624055
10,0.05309026192525308,0.2414290387183428
11,0.05157811187064762,0.23855256044119597
12,0.050611954133251875,0.235887774027884
13,0.04940939169350288,0.23257966508716346
14,0.04860349221052312,0.24396086310595275
15,0.04768457174372616,0.24191469614207745
16,0.047122584209203434,0.22649931882321833
17,0.046467081252798186,0.23294475711882115
18,0.04574564298976668,0.24886550298333168
19,0.04524269083635413,0.23550474117696285
20,0.04472040958988438,0.24424671120941638
