Epoch,Train Loss,Test Loss
1,0.17581048961313103,0.1824211534783244
2,0.07937432815641958,0.1782119119986892
3,0.06474324393564201,0.17325335556268692
4,0.05811956903635955,0.1791936254389584
5,0.05429481590340571,0.18019241991266607
6,0.051605268208770864,0.1912432376369834
7,0.04962994275292333,0.17953931783884763
8,0.048186772130385046,0.1860772283524275
9,0.046954286140140536,0.18396225029975175
10,0.04598798322640422,0.18337387477979064
11,0.04519247885892681,0.18776320560276508
12,0.04451060445698969,0.18562138309888543
13,0.04390016376287396,0.18571349634975196
14,0.04335627089609252,0.18143285032734274
15,0.04286524794328862,0.1919086917489767
16,0.04244477054153826,0.1972498009763658
17,0.04218764847110065,0.1950219147093594
18,0.04177910432788088,0.18952188748121263
19,0.041479368418551675,0.19873268806934358
20,0.041293442100894404,0.19071599851176144
