Epoch,Train Loss,Test Loss,Train Time (s)
1,0.17098716118335724,0.17228064113855363,1122
2,0.08815582665602366,0.15655548140406608,1025
3,0.07396631118754546,0.14133564695343376,1134
4,0.06729970935384433,0.14331901010870934,1124
5,0.06334568480153878,0.13750245129689576,913
6,0.060519389676054317,0.15042531160637737,871
7,0.05852518902818362,0.1500486137457192,856
8,0.0568017585982879,0.14063579693809153,882
9,0.0555670694231987,0.14831093221902847,878
10,0.04946504520674547,0.14096878453344105,882
