Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6409804181903601,-0.6886201167851687,2302
2,-0.6988893172621727,-0.7018527941703796,2122
3,-0.7136973136484623,-0.7063008203804493,2095
4,-0.7212043648451567,-0.7126151003539563,2110
5,-0.7246584070503712,-0.723074110955,2110
6,-0.7272270337104797,-0.7237321231365204,1919
7,-0.7302215139359236,-0.7182894263863564,1749
8,-0.7320142824828625,-0.7127351988554,1750
9,-0.7324107747942209,-0.7259154327362776,1793
10,-0.7343444081842899,-0.7225796810090542,1768
11,-0.7355258685290813,-0.7285512616038322,1505
12,-0.7357736712813377,-0.725009747326374,1428
13,-0.7379808232963085,-0.7176128578186035,1414
14,-0.7369235001921653,-0.7231150759458542,1385
15,-0.7386987498730421,-0.7250201643705368,1418
16,-0.7442640368521214,-0.726611675798893,1078
17,-0.7452206153094768,-0.7267513741850853,1083
18,-0.7462041802585125,-0.7315382424294948,1122
19,-0.7465595885396004,-0.7332435012757779,1414
20,-0.7471442361593247,-0.7289683113545179,1400
