Epoch,Train Loss,Test Loss,Train Time (s)
1,0.08459233158409596,0.09233961624838412,2058
2,0.07557046182274818,0.08919031576812267,1870
3,0.07386630719125271,0.09283267332054675,2065
4,0.07287544547319412,0.09401107849180698,3434
5,0.07231814474999905,0.09149405121430755,1785
6,0.07190345249414444,0.09565730772912502,1325
7,0.07067736891031265,0.09260212928429246,989
8,0.07030215439379216,0.0946658159531653,965
9,0.0700510008352995,0.09411256775073708,991
10,0.06999243480622769,0.09235520196519792,1028
