Epoch,Train Loss,Test Loss,Train Time (s)
1,0.09126747519850731,0.065398891242221,2788
2,0.07662796453326941,0.06887861913815141,2504
3,0.07451033488541842,0.06670414517819881,2545
4,0.07372585107833148,0.06488532552681864,2372
5,0.07295023454397917,0.06696629762090743,2062
6,0.0725207184240222,0.06287030653469264,1977
7,0.07221537137448787,0.06398701461590826,1637
8,0.07204017122894525,0.06576374607160687,1602
9,0.071769220713377,0.06206440152786672,1277
10,0.07154673557698726,0.06653316763974726,1261
11,0.07128267575085163,0.06789905083179473,1276
12,0.0712376425755024,0.06454536770656705,1250
13,0.07107528329908848,0.06981471880152822,1034
14,0.0701303890401125,0.06471150334738195,769
15,0.06980091720610856,0.06503129846975207,800
16,0.06952752068668604,0.06201513663027435,832
17,0.06946745527088642,0.06512243057973682,749
18,0.06930360459685325,0.06756134564429521,746
19,0.0692039426344633,0.06435533557645977,802
20,0.06914768053293228,0.0662829464636743,788
