Epoch,Train Loss,Test Loss
1,0.14026484444849194,0.13603042969852686
2,0.06936809143982828,0.12491189229488373
3,0.059572145935148,0.126305364895612
4,0.054935322288051244,0.12230300414562226
5,0.052057010722905396,0.11892910188809037
6,0.05000646869763732,0.11521249719336629
7,0.04839909753780812,0.11835958705842495
8,0.04718906942065805,0.11922007154673338
9,0.04619880219064653,0.11446296044066548
10,0.04530087424796075,0.11697868655622005
11,0.04460274194162339,0.11820163772068917
12,0.04399788304753602,0.11078690613992512
13,0.04352498290669173,0.1149714025054127
14,0.04308983164541423,0.11982932175323367
15,0.042739483084343374,0.12038604202121496
16,0.04238058558143675,0.11814775091409684
17,0.042068151349760594,0.11891699355468154
18,0.041799783370643856,0.11902189306169748
19,0.041565389486588535,0.10500567578524352
20,0.04131220570262521,0.10927413100749254
