Epoch,Train Loss,Test Loss,Train Time (s)
1,0.15699162541876235,0.19267128060013056,1574
2,0.08552591951390108,0.17859038972854616,1437
3,0.07310810040036837,0.17508064917102456,1446
4,0.06722965193887552,0.16786701578274368,1444
5,0.06375738317718109,0.16272976917400955,1415
6,0.06170208583896359,0.1742958914078772,1208
7,0.0596202507485946,0.1734374184086919,1209
8,0.058396161838869254,0.16450613529980182,1191
9,0.05724274028564493,0.16876784742996095,1161
10,0.05109596174582839,0.15737807014212013,1009
11,0.04847767853563031,0.15764262332394718,939
12,0.04695902591546377,0.17076269773766398,927
13,0.045925009295841056,0.1624335227124393,945
14,0.04510520373408993,0.1674507525637746,1027
15,0.042023642559846246,0.16729640122503042,952
