Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6593794634958108,-0.7005991277098655,2337
2,-0.7127300108134746,-0.7156847858130931,2230
3,-0.7237758196771145,-0.7249889695346355,2162
4,-0.728955883850654,-0.7144316359907389,2204
5,-0.7326249119997025,-0.7213490104228258,2204
6,-0.7350376269002755,-0.722474095761776,2185
7,-0.7372549290776252,-0.7288003221154213,2183
8,-0.7386995568195979,-0.7292268060743808,2180
9,-0.7403231172204018,-0.7258198221027851,2193
10,-0.7422236198802789,-0.726061685949564,2344
11,-0.7429628942728043,-0.726655241817236,2431
12,-0.7438173037012418,-0.7248856353610754,2366
13,-0.7490315998395284,-0.728478207975626,2373
14,-0.7505992669185003,-0.7287044204920531,2130
15,-0.7513597667972247,-0.7312230242788792,1987
16,-0.7516231734673182,-0.7389250550866127,2094
17,-0.7523731972078482,-0.7292893603444099,2038
18,-0.7533463278571765,-0.7293758159577847,1645
19,-0.7528284631768862,-0.7336556886285543,1529
20,-0.7533503246883552,-0.7364180063307285,1566
