Epoch,Train Loss,Test Loss
1,0.25531343249553823,0.24656446301192045
2,0.09640649378514247,0.2052270133793354
3,0.07449824761221634,0.21138094044476746
4,0.0656745443237922,0.2136664730384946
5,0.06060059093962405,0.21710539303719997
6,0.0569972859714549,0.22978469597548246
7,0.05448296287135586,0.2196651167795062
8,0.05259445255558578,0.22624606766551733
9,0.05092606609257024,0.22681443034112453
10,0.04977585316535664,0.226320153914392
11,0.04866560801068107,0.2391066153421998
12,0.04783729902269172,0.22771485444158315
13,0.04700344440487594,0.22752616641670464
14,0.046385715145173013,0.22476731863617896
15,0.04579770406143853,0.2262523894906044
16,0.04523290931758368,0.23334015979617834
17,0.04459169210925314,0.23002376855164766
18,0.04414937689891459,0.23350811365246774
19,0.04379559966641124,0.2310253702327609
20,0.043263502255859815,0.23559644883871078
