Epoch,Train Loss,Test Loss,Train Time (s)
1,0.13179501355230808,0.146730453774333,2069
2,0.07570283948719501,0.1337723414041102,1834
3,0.06446310273885728,0.12394729184731841,1700
4,0.059216178413033484,0.1260546323545277,1553
5,0.055795968624055385,0.12878638041019438,1466
6,0.05323033087015152,0.1170546384677291,1541
7,0.051526700180768964,0.12293337593600154,1548
8,0.05004615264028311,0.13882181035727262,1269
9,0.04882314814597368,0.13430643608421086,992
10,0.047778843664228916,0.13072256328165532,915
11,0.04303387411653996,0.11243063125759363,933
12,0.04079192307502031,0.1124858370795846,938
13,0.03960124801039696,0.12004696328192949,750
14,0.03872612329155207,0.11422081062197685,665
15,0.038021520999372005,0.1146437001787126,651
16,0.0356327140390873,0.1153392099328339,669
