Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6783791544576486,-0.6949790434539318,1614
2,-0.7213214287122091,-0.7058263989090919,1456
3,-0.7308306448618571,-0.7055767744481564,1444
4,-0.7347269784371058,-0.709402593716979,1456
5,-0.7375061501741409,-0.7101985859870911,1446
6,-0.7395952182928721,-0.7155855106115341,1458
7,-0.7412309569279353,-0.7213892708644271,1419
8,-0.7429835162003835,-0.7235022161900997,1423
9,-0.7441442973613739,-0.7168191483020783,1437
10,-0.7445516176303227,-0.7287853285372258,1430
11,-0.7455248867193858,-0.719409018099308,1438
12,-0.7463467066844305,-0.724368819475174,1444
13,-0.7472093713919322,-0.7214498915970325,1452
14,-0.7481527361551921,-0.7276847061812878,1200
15,-0.75227945942084,-0.7227688714265823,1013
16,-0.752604864637057,-0.7299655673205853,782
17,-0.7543295148611069,-0.7272552833557129,742
18,-0.754466306813558,-0.7289181468784809,768
19,-0.7549021544218063,-0.726927833199501,972
20,-0.7550134333292643,-0.7356763653159142,866
