Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.5997204666867852,-0.5940912642702461,1856
2,-0.6688150746822357,-0.6186591348052025,1597
3,-0.6847705729087193,-0.6352526941224933,1663
4,-0.6921124781131744,-0.6498741132318974,1606
5,-0.6970982299407323,-0.6443934729322791,1745
6,-0.7001089559396108,-0.6535784112215042,1715
7,-0.7031891055504481,-0.6369212097674608,1664
8,-0.7055181264400482,-0.6542672571539879,1661
9,-0.7069295842965444,-0.6704404475986958,1631
10,-0.7090816049655279,-0.6542377928495408,1742
11,-0.7108737713257471,-0.6641923049539328,1565
12,-0.7116432616392772,-0.6688495084196329,1624
13,-0.7129172232786815,-0.6648215329796076,1472
14,-0.7202672785600026,-0.6779954623356461,1042
15,-0.7219647792657217,-0.6819207480847835,1001
16,-0.7229188528299332,-0.678723189175129,1129
17,-0.7237477978865305,-0.6834974740445614,1072
18,-0.7243875845988591,-0.6822179904580117,966
19,-0.72510423301061,-0.6850638181269169,1035
20,-0.7255766258398691,-0.6834455485492945,1018
