Epoch,Train Loss,Test Loss,Train Time (s)
1,0.09971890814572573,0.1696776167601347,2101
2,0.06769868902996183,0.16653218857571483,1692
3,0.058462763153016566,0.16530641694366932,1693
4,0.053158099893182514,0.15463753018528223,1658
5,0.04955124405741691,0.162170700378716,1332
6,0.04699073429360986,0.16045167642086744,1019
7,0.0450041597224772,0.16562819190695882,1003
8,0.04352210465192795,0.15150641642138363,1007
9,0.04230600050985813,0.15909061535447835,932
10,0.041308354496210814,0.15643136646971106,719
11,0.040500520675182346,0.15543746192753316,718
12,0.03980702804371715,0.15932146484032272,726
13,0.036284054184556006,0.15817775697261094,503
