Epoch,Train Loss,Test Loss,Train Time (s)
1,0.1478781899869442,0.20393215795606376,174
2,0.1035007896721363,0.1976746407300234,443
3,0.08749303152859211,0.19516633761674165,343
4,0.07819006479978562,0.18779420280456544,295
5,0.07153713671267033,0.1942354975566268,317
6,0.06619194261431693,0.1950808886885643,333
7,0.062167285400629047,0.19323191103339196,340
8,0.058332225757837294,0.18758759031817318,337
9,0.055655352088809014,0.1960378650724888,344
10,0.05353160783350468,0.19718910014629365,342
11,0.051375683315098286,0.2011127047613263,350
12,0.04971931140422821,0.18947913480550052,345
13,0.04490104815363884,0.19095561464875938,391
