Epoch,Train Loss,Test Loss,Train Time (s)
1,0.08729946494102478,0.06582916501164436,2728
2,0.07696130933091044,0.0657520421873778,2461
3,0.07487351597808302,0.06289941539242863,2471
4,0.07377099220529199,0.06725516768172383,2469
5,0.07315868955235928,0.06770573634468019,2464
6,0.07261892007887363,0.06342398075200617,2312
7,0.07231563594937325,0.06373852621763945,2082
8,0.07106615330651403,0.0639161735996604,2106
9,0.07067890444397926,0.06466582962311804,2129
10,0.0704107471883297,0.06609453275054693,1769
11,0.0702675902403891,0.06638897057622671,1397
