Epoch,Train Loss,Test Loss,Train Time (s)
1,0.2345118816614151,0.22614940026402475,428
2,0.11583548332452774,0.20473660243302583,367
3,0.09198794947862625,0.20292480786144734,362
4,0.08117424708306789,0.19634843020141124,376
5,0.07469081675708295,0.20060619294643403,398
6,0.07026747903525829,0.19029559007287025,418
7,0.06688249182701111,0.2006994537115097,456
8,0.0647247736632824,0.19988673257827758,437
9,0.06261203570365906,0.19492604632675647,468
10,0.06118200850188732,0.19165634433180093,445
11,0.0543158687889576,0.20309888005256652,442
