Epoch,Train Loss,Test Loss,Train Time (s)
1,0.12939726669862867,0.14801793725788592,1447
2,0.07058237737491727,0.1365798247307539,1260
3,0.061367418213933704,0.12918376710638405,845
4,0.056176059202104806,0.11908511565625668,600
5,0.05230668892711401,0.10562819535844029,647
6,0.04939594696909189,0.12458569213747978,612
7,0.04707180295586586,0.11544399924017489,509
8,0.04532429191097617,0.12118981891125441,381
9,0.04376851719468832,0.11589047535508872,423
10,0.03920250514559448,0.11275870299898089,388
