Epoch,Train Loss,Test Loss,Train Time (s)
1,0.05717762387146552,0.052477387085556985,930
2,0.04465903392831484,0.048932427079416814,940
3,0.040431410421431065,0.05195501051098108,881
4,0.03829227593392134,0.04995635229535401,889
5,0.03692657700826724,0.04787609610054642,871
6,0.03600054915547371,0.056311730830930176,826
7,0.035374313553671044,0.046766971761360764,711
8,0.03497411877512932,0.04877509856969118,643
9,0.034591909667849544,0.05150293797999621,646
10,0.034422607902189095,0.04759264098107815,664
11,0.03436831218997637,0.04578448181040585,684
12,0.034408939489722255,0.05070161688327789,557
13,0.034396905764937404,0.047117982036434115,362
14,0.034513666500151155,0.04661776621453464,381
15,0.034761112164954346,0.047685858020558955,374
16,0.032865105534593264,0.04487795721180737,379
17,0.03222843463520209,0.045305449971929194,378
18,0.031975711118181545,0.04255931087303907,263
19,0.03180450477103392,0.0436777599491179,255
20,0.03157472670624654,0.04530712701566517,343
