Epoch,Train Loss,Test Loss,Train Time (s)
1,0.08743039097040892,0.06885723801888526,2050
2,0.07703599441250165,0.06568211838044226,1855
3,0.07470930452446142,0.07506760754995048,1922
4,0.07367087032298247,0.06556370012275875,1843
5,0.07289880430648724,0.0625363448485732,1897
6,0.07232874396493037,0.06879718721844257,1860
7,0.07193085811982552,0.0655394704695791,1867
8,0.07157451391716799,0.06861894744820893,1669
9,0.07129677362690369,0.06806428053043782,1585
10,0.07016385234296321,0.06389154888875782,1614
11,0.0697319116393725,0.06385718933679163,1581
12,0.0695622836108009,0.06652390013821423,1616
13,0.06942067771504323,0.06712140518054366,1383
