Epoch,Train Loss,Test Loss
1,0.19707960026237017,0.2085619128420949
2,0.08065426049180816,0.2033450381681323
3,0.0650192057187588,0.21502119529992342
4,0.058306596164234614,0.21473696955293417
5,0.054247606371377995,0.2103143198043108
6,0.051522260745199555,0.20933203548938037
7,0.049479002283855905,0.21507393677532674
8,0.04803129247751201,0.21920464812219143
9,0.046834403890323055,0.21536461643874646
10,0.045794763381637064,0.2108808118700981
11,0.044907142598143976,0.21683950040489436
12,0.04420075752008673,0.21839967527240514
13,0.043607684609328796,0.20128148098289966
14,0.043051998350539106,0.2162346185594797
15,0.04262225794643342,0.22100818588584661
16,0.042220008236606925,0.21142735627666115
17,0.04188146711403675,0.2187219098880887
18,0.04159693708436605,0.20971297074109316
19,0.04126501674347641,0.21272593536973
20,0.041104506310153735,0.21802080250531436
