Epoch,Train Loss,Test Loss,Train Time (s)
1,0.052718288063630464,0.04913006960786879,1637
2,0.03882129399068653,0.044998105847276745,1457
3,0.036300888803601265,0.04473463131673634,1419
4,0.03504921436198056,0.04303845950495452,1516
5,0.03460144034922123,0.044885169540531934,1446
6,0.034347786695882676,0.041570967894047496,1399
7,0.034325618343055246,0.04220250654220581,1251
8,0.0343847038205713,0.04354772145487368,1125
9,0.034602001386508346,0.04746918476559222,961
10,0.03497602748051286,0.04481602018326521,982
11,0.03278617131970823,0.04186198696028441,835
