Epoch,Train Loss,Test Loss
1,0.22669507895708085,0.21947016011178494
2,0.08790303995013236,0.2191907845661044
3,0.07039147283285856,0.21733448215574025
4,0.0626505352333188,0.2167591610327363
5,0.05805698063075542,0.2210796185284853
6,0.05500681073069572,0.2220686445683241
7,0.05261895701736212,0.21813691725581885
8,0.0507522076189518,0.22209345526248217
9,0.04935074677169323,0.21776441999524832
10,0.04818167222440243,0.22632632575929165
11,0.04710215367078781,0.2221419904604554
12,0.046267830745875836,0.21089209816604854
13,0.0454002539858222,0.2213117277100682
14,0.04478546917438507,0.21253638914972545
15,0.044143204063922165,0.21612204921245576
16,0.043608832363784315,0.2161269946694374
17,0.04299686187654734,0.21609051202237606
18,0.04246311315745115,0.21738410641252995
19,0.04215221525207162,0.22110262109339238
20,0.041626653070002795,0.22061664820462465
